Study	followup	HTNC_N	HTNC_deaths	HTNU_N	HTNU_deaths	HTNE_N	HTNE_deaths
Guiga et al. (2017)	1	360	106	113	10	247	96
Afonso et al. (2011)	3.1	567	368			567	368
Rubin et al. (2018)	2	153	9
González et al. (2010)	7.75	197	7
Amraoui et al. (2012)	5.58333333	120	18
Leiba et al. (2016)	1	142	18			142	18
Paini et al. (2021)	1	895	69
Al Bannay et al. (2015)	2.5	297	37
Preston et al. (2019)	2	103	4
Vlcek et al. (2007)	4.2	384	6	384	6
Pothuru et al. (2023)	1	37214	8113
Shantsila et al. (2012)	7	341	190
Bureau et al. (2023)	3	99	1
Sobrinho et al. (2007)	0.4	57	12
Roubsanthisuk et al. (2010)	1.2	137	37			137	37
Lane et al. (2009)	8.6	446	203
Shin et al. (2021)	3.1	4488	612	4488	612
Katz et al. (2009)	0.24657534	1524	65
